feature,mean_abs_shap
pm2_5_roll_mean_3h,28.915177967771765
pm2_5_lag_3h,3.1768637102905846
pm2_5_lag_1h,2.130530938207903
pm10,1.558435198038648
carbon_monoxide,0.6100043227890303
relative_humidity_2m,0.3099217331538194
hour_sin,0.24660802155823233
pm2_5_lag_6h,0.1892369481549164
nitrogen_dioxide,0.11021346788012826
dayofyear,0.10863572802799763
province_Hebei,0.10494835896619452
pm2_5_roll_mean_6h,0.08357270379800688
hour,0.08159618503056264
ozone,0.06092076016128494
wind_gusts_10m,0.060421478160710564
dayofyear_sin,0.06011881916732234
hour_cos,0.05948418107226501
pm2_5_roll_mean_12h,0.0578785396112974
pm2_5_roll_mean_24h,0.055026942971498405
sulphur_dioxide,0.05433750851664075
pm2_5_roll_mean_168h,0.051541947444989224
dew_point_2m,0.051052360883972595
northerly_cleaning_10m,0.04991479643756278
wind_v_10m_lag_1h,0.04437379739175236
temperature_2m,0.04368903466503532
surface_pressure,0.04326245675743772
wind_speed_10m,0.038846730221140165
year,0.03742973526331948
wind_direction_10m,0.033023588345543045
wind_v_10m,0.03246414592113956
wind_v_10m_lag_3h,0.030460888145681687
boundary_layer_height,0.029270459963302742
pm2_5_lag_12h,0.026837318434323302
dayofyear_cos,0.026779897916274123
wind_u_10m_lag_24h,0.02647331485085821
wind_speed_10m_lag_1h,0.023325288481706348
latitude,0.022415773010950622
pressure_msl,0.022172211003510033
wind_u_10m_lag_3h,0.02157400178385312
longitude,0.021077001457170393
cloud_cover,0.01970525445288624
city_Hengshui,0.019064801029083717
pm2_5_roll_mean_72h,0.017582100309411933
wind_u_10m_lag_1h,0.01708068722959932
pm2_5_lag_24h,0.015104456412782241
month_sin,0.014056650696127899
wind_speed_10m_lag_3h,0.013259439346248859
wind_u_10m,0.010599187171679972
city_Beijing,0.010456321230756583
southerly_transport_10m,0.009131336356962413
pm2_5_lag_72h,0.007141044129393901
city_Cangzhou,0.006707149124927171
pm2_5_lag_168h,0.006501380256609485
wind_v_10m_lag_24h,0.006210853241546298
city_Shijiazhuang,0.0056699955077787155
pm2_5_lag_48h,0.005628038124582584
precipitation,0.005514163579794962
weekday,0.004537713192001822
wind_speed_10m_lag_24h,0.004116613717667517
month,0.003445725948857032
month_cos,0.003356084246064608
city_Baoding,0.0026909213725265875
city_Langfang,0.0022164501095883957
city_Tangshan,0.0019711148455645927
low_pblh_flag,0.000697012472608207
city_Tianjin,0.000613288548138437
rain,0.00042661989433556013
province_Beijing,0.00030235863398870173
city_Zhangjiakou,0.0002920906325292902
city_Xingtai,0.0001514284363066513
city_Chengde,4.42695060660026e-05
city_Qinhuangdao,0.0
missingindicator_snowfall,0.0
city_Handan,0.0
missingindicator_dust,0.0
missingindicator_aerosol_optical_depth,0.0
missingindicator_has_inversion_850_1000,0.0
missingindicator_t_inverse_850_1000,0.0
missingindicator_temperature_1000hPa,0.0
missingindicator_temperature_850hPa,0.0
missingindicator_weather_code,0.0
missingindicator_apparent_temperature,0.0
is_weekend,0.0
province_Tianjin,0.0
