feature,mean_abs_shap
dayofyear_cos,15.489369929093128
dew_point_2m,12.037351667254821
dayofyear,6.160306144652274
dayofyear_sin,5.421740702248914
year,4.752173678657054
wind_v_10m_lag_24h,3.6638144367199232
month_cos,3.403547275279468
relative_humidity_2m,3.3369841373692126
wind_speed_10m_lag_3h,2.2825702260884215
pressure_msl,2.078673290122377
latitude,2.0021855442672756
wind_v_10m_lag_3h,1.5702933871600198
wind_speed_10m_lag_24h,1.1397432041788316
boundary_layer_height,0.9819100371882119
surface_pressure,0.891169530911561
hour_sin,0.8548086765873056
temperature_2m,0.8037432825010865
precipitation,0.5181551852341914
month,0.5011194810822018
weekday,0.458021325112827
wind_u_10m_lag_24h,0.4565358244844833
month_sin,0.3758514948379719
northerly_cleaning_10m,0.31870911241771654
wind_u_10m_lag_3h,0.31695852632249627
wind_v_10m,0.29256187723942145
low_pblh_flag,0.2871220459904704
hour,0.2662410422752857
longitude,0.2187690609188903
city_Tangshan,0.21085309901140045
hour_cos,0.19755135929782291
wind_direction_10m,0.1689807140230474
rain,0.1584055539524322
cloud_cover,0.14530934117299704
city_Baoding,0.10787192456532002
wind_gusts_10m,0.10611691077848448
city_Beijing,0.09521213715798486
southerly_transport_10m,0.07011518055976926
wind_u_10m,0.06173517802288458
wind_speed_10m,0.06031285967373776
wind_v_10m_lag_1h,0.05880724570251971
city_Handan,0.05820896333551826
wind_u_10m_lag_1h,0.03706866944575103
province_Beijing,0.035800003074802605
province_Hebei,0.03299908763044252
is_weekend,0.027714326225478193
city_Shijiazhuang,0.02632256090973727
wind_speed_10m_lag_1h,0.020022401778767764
city_Langfang,0.019952500070152736
city_Xingtai,0.0187590017707003
city_Tianjin,0.014786878612798725
city_Cangzhou,0.014037151026703734
city_Chengde,0.0124729237939473
city_Hengshui,0.011823546862409343
city_Qinhuangdao,0.005252690136589726
city_Zhangjiakou,0.004529546340662689
province_Tianjin,0.002037052212548198
missingindicator_has_inversion_850_1000,0.0
missingindicator_t_inverse_850_1000,0.0
missingindicator_temperature_1000hPa,0.0
missingindicator_temperature_850hPa,0.0
missingindicator_weather_code,0.0
missingindicator_snowfall,0.0
missingindicator_apparent_temperature,0.0
