feature,mean_abs_shap
pm2_5_roll_mean_3h,22.413569660797926
pm10,5.938559833182715
pm2_5_lag_3h,2.2515847332674843
pm2_5_lag_1h,1.9131489178563081
dust,1.0446080063588596
pm2_5_roll_mean_6h,0.8961587288657695
carbon_monoxide,0.7044307950900855
wind_gusts_10m,0.5605557256058696
missingindicator_apparent_temperature,0.4926623269871043
relative_humidity_2m,0.4463861482224705
wind_speed_10m,0.2444570080117581
pm2_5_lag_6h,0.2193295554390662
nitrogen_dioxide,0.21288297765458716
sulphur_dioxide,0.21187416563405895
missingindicator_snowfall,0.20555045990606355
hour_sin,0.19317612921984645
aerosol_optical_depth,0.14926322234322495
boundary_layer_height,0.14140421505094994
ozone,0.13860642936001472
pm2_5_roll_mean_12h,0.13401080215403416
missingindicator_weather_code,0.1336808955223817
province_Hebei,0.1335114746679736
wind_speed_10m_lag_1h,0.12952773258071162
temperature_2m,0.11069937009784071
hour_cos,0.10885019547261923
hour,0.1005317102722176
dew_point_2m,0.09287738949668294
pm2_5_roll_mean_24h,0.09236590061791623
period_pre_covid_2018_2019,0.07994523627191345
wind_v_10m_lag_1h,0.07711741934005416
dayofyear,0.07451622926649781
wind_v_10m_lag_3h,0.07331999931174185
dayofyear_sin,0.07045848046317374
wind_speed_10m_lag_24h,0.0646078512788363
wind_u_10m_lag_3h,0.06390863025321696
pm2_5_lag_12h,0.06317333903367262
dayofyear_cos,0.06306831187434249
temperature_1000hPa,0.057362143800989585
wind_speed_10m_lag_3h,0.0572820008219799
wind_u_10m_lag_1h,0.05639184309446421
longitude,0.05138255203254906
pm2_5_roll_mean_72h,0.05091749092260401
is_covid_period,0.049983574218124216
pressure_msl,0.04747739850405402
t_inverse_850_1000,0.04717411956809188
pm2_5_roll_mean_168h,0.04467397454825849
surface_pressure,0.04295496225237451
pm2_5_lag_48h,0.04095579223892393
wind_direction_10m,0.03991299214464147
northerly_cleaning_10m,0.0391119235000849
wind_v_10m_lag_24h,0.03898912148482429
temperature_850hPa,0.03826314550123821
wind_u_10m,0.03784002611776586
pm2_5_lag_168h,0.03752631457909602
wind_u_10m_lag_24h,0.036775449584906236
apparent_temperature,0.036121189760807956
latitude,0.03502138662522881
pm2_5_lag_24h,0.03383296400216945
wind_v_10m,0.03065693856002851
pm2_5_lag_72h,0.030542733757673097
period_post_covid_2023_plus,0.028892279592048063
cloud_cover,0.028745240520947467
month,0.023959775330002042
weekday,0.02341816532454696
city_Hengshui,0.01945698718342531
missingindicator_temperature_850hPa,0.018412895705148247
city_Baoding,0.017951710813617013
southerly_transport_10m,0.017736003943938095
weather_code,0.017362767273890387
missingindicator_temperature_1000hPa,0.017346397257215464
month_sin,0.016218193674009486
period_covid_2020_2022,0.016067744027395685
month_cos,0.013221310941081593
city_Beijing,0.011013959251383581
city_Langfang,0.010967338632250604
precipitation,0.00992748301160074
rain,0.0076748745385957304
missingindicator_has_inversion_850_1000,0.007391306286459148
city_Tianjin,0.006579612169686761
city_Shijiazhuang,0.006315067377409071
city_Cangzhou,0.00528274094396815
low_pblh_flag,0.0046396598584091085
city_Tangshan,0.0035776694468342726
is_weekend,0.0032368672716852386
province_Tianjin,0.0025393977078983876
city_Qinhuangdao,0.0023158423439022034
missingindicator_t_inverse_850_1000,0.0016196193143026996
city_Xingtai,0.0014399730863325266
province_Beijing,0.0011656528317132344
city_Handan,0.0011111237103130082
city_Zhangjiakou,0.000740260335080112
city_Chengde,0.0007287570628488258
missingindicator_pm2_5_lag_168h,0.0006615212491222094
snowfall,0.00012364126425713873
missingindicator_pm2_5_roll_mean_72h,2.119127538817006e-05
missingindicator_pm2_5_lag_72h,1.7893203895207846e-05
missingindicator_pm2_5_roll_mean_168h,1.2514090616498296e-05
missingindicator_pm2_5_lag_48h,1.1833971815416492e-05
missingindicator_aerosol_optical_depth,0.0
has_inversion_850_1000,0.0
missingindicator_dust,0.0
