feature,mean_abs_shap
pm2_5_lag_1h,9.592341668275894
pressure_msl,4.1351982009192
boundary_layer_height,2.652013737098831
pm2_5_roll_mean_168h,2.387077228304485
city_Beijing,2.377539491500446
latitude,2.1442521141611577
province_Hebei,1.8740773073205697
t_inverse_850_1000,1.595654210843419
cloud_cover,1.4475799499719917
dayofyear_cos,1.4382815286265178
pm2_5_roll_mean_3h,1.3317714040696178
surface_pressure,1.2731876594240492
temperature_850hPa,1.1611197624095564
hour,1.1229970292067992
pm2_5_lag_48h,1.0930530771372176
wind_gusts_10m,0.8473087686146938
southerly_transport_10m,0.8144266705981171
pm2_5_lag_168h,0.7766266079511484
pm2_5_lag_72h,0.7744119215609396
pm2_5_lag_24h,0.6821000748887511
weekday,0.666037197509831
province_Beijing,0.6489095463256713
northerly_cleaning_10m,0.6473632034408618
wind_v_10m_lag_3h,0.6467756014335077
wind_v_10m,0.6427357728042744
wind_u_10m,0.4807829377151842
hour_cos,0.45627611493899295
dayofyear_sin,0.4297326174030323
temperature_2m,0.35369267714597435
wind_direction_10m,0.3405617316851123
dayofyear,0.32628588240257267
longitude,0.32482686486866175
weather_code,0.30626209206274874
dew_point_2m,0.29138678065390666
wind_v_10m_lag_1h,0.26612979296751704
pm2_5_roll_mean_72h,0.25550139972877955
pm2_5_lag_3h,0.24142123649776728
wind_speed_10m,0.21492979157391953
month_sin,0.18337385761370473
apparent_temperature,0.15312289563342674
city_Cangzhou,0.14400288021613655
pm2_5_roll_mean_24h,0.14377942420706671
is_weekend,0.12296104195093992
city_Hengshui,0.11891160108883117
city_Baoding,0.10637137210473263
month_cos,0.09187614025755665
city_Shijiazhuang,0.08979847120693943
pm2_5_roll_mean_6h,0.0811462167957347
pm2_5_lag_12h,0.07644470102134054
pm2_5_lag_6h,0.07544721788429783
wind_v_10m_lag_24h,0.06632289283209618
pm2_5_roll_mean_12h,0.06433929237359055
relative_humidity_2m,0.058608865986765964
precipitation,0.05631670183728456
wind_u_10m_lag_1h,0.05035424687551006
month,0.04704239195372182
hour_sin,0.0316688245593295
temperature_1000hPa,0.028983761037755164
wind_u_10m_lag_24h,0.021457761797478516
city_Langfang,0.018676378755329008
rain,0.015497529602500084
wind_speed_10m_lag_3h,0.014926864666818121
city_Xingtai,0.014819882162511837
wind_u_10m_lag_3h,0.014612448488828193
city_Handan,0.013094090144212827
city_Zhangjiakou,0.01064220369603529
low_pblh_flag,0.008061518218906338
wind_speed_10m_lag_24h,0.004848531586811461
wind_speed_10m_lag_1h,0.0036233418092935423
city_Tianjin,0.0019938236273509065
missingindicator_pm2_5_lag_48h,0.0009237429144660806
has_inversion_850_1000,0.0008428498784317564
city_Tangshan,0.0006243397238082216
province_Tianjin,5.354129213643585e-05
missingindicator_pm2_5_lag_168h,5.337787095998268e-05
city_Chengde,0.0
snowfall,0.0
missingindicator_pm2_5_roll_mean_168h,0.0
city_Qinhuangdao,0.0
missingindicator_pm2_5_lag_72h,0.0
