label,role,rank,feature,mean_abs_shap
full_2018_plus_high_accuracy,高精度预测模型,1,pm2_5_roll_mean_3h,22.41356966079793
full_2018_plus_high_accuracy,高精度预测模型,2,pm10,5.938559833182715
full_2018_plus_high_accuracy,高精度预测模型,3,pm2_5_lag_3h,2.2515847332674843
full_2018_plus_high_accuracy,高精度预测模型,4,pm2_5_lag_1h,1.913148917856308
full_2018_plus_high_accuracy,高精度预测模型,5,dust,1.0446080063588596
full_2018_plus_high_accuracy,高精度预测模型,6,pm2_5_roll_mean_6h,0.8961587288657695
full_2018_plus_high_accuracy,高精度预测模型,7,carbon_monoxide,0.7044307950900855
full_2018_plus_high_accuracy,高精度预测模型,8,wind_gusts_10m,0.5605557256058696
full_2018_plus_high_accuracy,高精度预测模型,9,missingindicator_apparent_temperature,0.4926623269871043
full_2018_plus_high_accuracy,高精度预测模型,10,relative_humidity_2m,0.4463861482224705
pre_covid_2018_2019_high_accuracy,疫情前高精度预测模型,1,pm2_5_roll_mean_3h,30.169194512439432
pre_covid_2018_2019_high_accuracy,疫情前高精度预测模型,2,pm2_5_lag_3h,3.245911866903838
pre_covid_2018_2019_high_accuracy,疫情前高精度预测模型,3,pm2_5_lag_1h,3.03575740496875
pre_covid_2018_2019_high_accuracy,疫情前高精度预测模型,4,pm10,2.9061934199583104
pre_covid_2018_2019_high_accuracy,疫情前高精度预测模型,5,carbon_monoxide,1.2850870764176392
pre_covid_2018_2019_high_accuracy,疫情前高精度预测模型,6,province_Hebei,0.6019799060778523
pre_covid_2018_2019_high_accuracy,疫情前高精度预测模型,7,relative_humidity_2m,0.4663779072464349
pre_covid_2018_2019_high_accuracy,疫情前高精度预测模型,8,nitrogen_dioxide,0.2804182029222313
pre_covid_2018_2019_high_accuracy,疫情前高精度预测模型,9,hour_sin,0.2716206524339004
pre_covid_2018_2019_high_accuracy,疫情前高精度预测模型,10,pm2_5_roll_mean_6h,0.2520063238382701
pre_covid_2018_2019_meteorology,疫情前气象贡献模型,1,dayofyear_cos,21.136546164587116
pre_covid_2018_2019_meteorology,疫情前气象贡献模型,2,dew_point_2m,10.913724743466672
pre_covid_2018_2019_meteorology,疫情前气象贡献模型,3,dayofyear_sin,7.197971903616108
pre_covid_2018_2019_meteorology,疫情前气象贡献模型,4,dayofyear,5.526876812139182
pre_covid_2018_2019_meteorology,疫情前气象贡献模型,5,relative_humidity_2m,5.221709578343965
pre_covid_2018_2019_meteorology,疫情前气象贡献模型,6,wind_v_10m_lag_24h,4.139110289556961
pre_covid_2018_2019_meteorology,疫情前气象贡献模型,7,latitude,4.098809345495495
pre_covid_2018_2019_meteorology,疫情前气象贡献模型,8,month_cos,4.090528861752846
pre_covid_2018_2019_meteorology,疫情前气象贡献模型,9,pressure_msl,3.1856661348535997
pre_covid_2018_2019_meteorology,疫情前气象贡献模型,10,wind_v_10m_lag_3h,2.9612420379624385
covid_2020_2022_high_accuracy,疫情期高精度预测模型,1,pm2_5_roll_mean_3h,28.915177967771765
covid_2020_2022_high_accuracy,疫情期高精度预测模型,2,pm2_5_lag_3h,3.176863710290585
covid_2020_2022_high_accuracy,疫情期高精度预测模型,3,pm2_5_lag_1h,2.130530938207903
covid_2020_2022_high_accuracy,疫情期高精度预测模型,4,pm10,1.558435198038648
covid_2020_2022_high_accuracy,疫情期高精度预测模型,5,carbon_monoxide,0.6100043227890303
covid_2020_2022_high_accuracy,疫情期高精度预测模型,6,relative_humidity_2m,0.3099217331538194
covid_2020_2022_high_accuracy,疫情期高精度预测模型,7,hour_sin,0.2466080215582323
covid_2020_2022_high_accuracy,疫情期高精度预测模型,8,pm2_5_lag_6h,0.1892369481549164
covid_2020_2022_high_accuracy,疫情期高精度预测模型,9,nitrogen_dioxide,0.1102134678801282
covid_2020_2022_high_accuracy,疫情期高精度预测模型,10,dayofyear,0.1086357280279976
covid_2020_2022_meteorology,疫情期气象贡献模型,1,dayofyear_cos,15.489369929093128
covid_2020_2022_meteorology,疫情期气象贡献模型,2,dew_point_2m,12.03735166725482
covid_2020_2022_meteorology,疫情期气象贡献模型,3,dayofyear,6.160306144652274
covid_2020_2022_meteorology,疫情期气象贡献模型,4,dayofyear_sin,5.421740702248914
covid_2020_2022_meteorology,疫情期气象贡献模型,5,year,4.752173678657054
covid_2020_2022_meteorology,疫情期气象贡献模型,6,wind_v_10m_lag_24h,3.6638144367199232
covid_2020_2022_meteorology,疫情期气象贡献模型,7,month_cos,3.403547275279468
