feature,mean_abs_shap
pm2_5_roll_mean_3h,36.02646451291805
pm10,10.35430740708087
year,5.68737988287536
dust,3.3362193938861693
pm2_5_lag_1h,1.9013753137351805
pm2_5_lag_3h,1.8610364260485457
sulphur_dioxide,0.6616316803050861
dayofyear,0.6188132552006046
boundary_layer_height,0.47947285329123424
pm2_5_roll_mean_6h,0.30692516461606967
aerosol_optical_depth,0.29077683282633937
hour_cos,0.22962549959022574
pm2_5_lag_6h,0.20835467997871213
carbon_monoxide,0.1961082555743962
hour,0.19015950174770443
hour_sin,0.18063103879386513
dayofyear_cos,0.11298641712987643
dayofyear_sin,0.08650067579565258
ozone,0.06863885043571293
dew_point_2m,0.06562674054757332
nitrogen_dioxide,0.06253540420482834
wind_speed_10m,0.06056027617140621
pm2_5_roll_mean_24h,0.06044952357404493
surface_pressure,0.056431904994927645
temperature_1000hPa,0.05393173760425619
wind_speed_10m_lag_3h,0.05282413054342521
t_inverse_850_1000,0.05208398260266092
relative_humidity_2m,0.05186345872859792
pm2_5_lag_168h,0.04842007791784227
pm2_5_roll_mean_12h,0.047548736738683935
pm2_5_roll_mean_168h,0.04407762441786652
temperature_850hPa,0.04348696513756327
pm2_5_lag_24h,0.04245068618532296
wind_speed_10m_lag_1h,0.04230654938808043
pressure_msl,0.04167995240914361
pm2_5_lag_12h,0.040959653406875705
cloud_cover,0.04062640190593245
longitude,0.0391797472237962
wind_v_10m_lag_3h,0.034014845068424865
temperature_2m,0.033559150290870636
pm2_5_lag_72h,0.03299655231871911
month,0.032313288914081285
pm2_5_lag_48h,0.031205418305358203
wind_gusts_10m,0.03074232733689909
latitude,0.02883470854523625
wind_u_10m_lag_24h,0.028410364159874486
wind_u_10m_lag_1h,0.02702818145853217
wind_u_10m_lag_3h,0.026556081226719912
wind_u_10m,0.02633571490244487
wind_v_10m,0.02557081855566448
northerly_cleaning_10m,0.02399397957946918
wind_v_10m_lag_24h,0.023875632951817626
wind_direction_10m,0.02354505439640518
pm2_5_roll_mean_72h,0.023344411191343974
wind_v_10m_lag_1h,0.021776414333574915
wind_speed_10m_lag_24h,0.02058690263760152
apparent_temperature,0.01974610149082624
weekday,0.016047131971771347
province_Hebei,0.013502777852751568
month_cos,0.011850032240711407
city_Baoding,0.010382264949453128
southerly_transport_10m,0.008092711466248315
city_Beijing,0.006741072064711146
low_pblh_flag,0.005266430335053477
weather_code,0.003965611874775531
month_sin,0.0037655695058007835
city_Tianjin,0.003722457152464915
city_Shijiazhuang,0.0026567809466560145
rain,0.002429442076823731
precipitation,0.002348311622003112
city_Qinhuangdao,0.002207511387045446
city_Langfang,0.001715919148469953
province_Beijing,0.0014643018990123618
snowfall,0.0010218210939155355
is_weekend,0.0009942949575443018
city_Tangshan,0.0008510457895982358
city_Cangzhou,0.0008435958722420855
province_Tianjin,0.0007729392571684091
city_Hengshui,0.00028222392706422374
city_Zhangjiakou,9.939224981871789e-05
has_inversion_850_1000,8.757685428764975e-05
city_Chengde,4.308118777724607e-05
city_Handan,1.5082856781861111e-05
city_Xingtai,9.118328347502648e-06
