feature,mean_abs_shap
pm2_5_roll_mean_3h,30.169194512439432
pm2_5_lag_3h,3.245911866903838
pm2_5_lag_1h,3.03575740496875
pm10,2.9061934199583104
carbon_monoxide,1.2850870764176392
province_Hebei,0.6019799060778523
relative_humidity_2m,0.46637790724643496
nitrogen_dioxide,0.2804182029222313
hour_sin,0.27162065243390043
pm2_5_roll_mean_6h,0.2520063238382701
dayofyear,0.20677703397086156
ozone,0.20039585798523993
dayofyear_cos,0.1572314649453033
surface_pressure,0.14612150050175965
longitude,0.1281975752580996
pm2_5_lag_6h,0.1255635735087177
wind_v_10m_lag_1h,0.12291932800353302
year,0.11213755099486104
dew_point_2m,0.10501914601547344
latitude,0.10007373458504858
city_Beijing,0.09978810188509878
hour,0.09771716051279267
dayofyear_sin,0.08685756892672983
pm2_5_roll_mean_24h,0.08498138117234244
hour_cos,0.07304398451415789
sulphur_dioxide,0.07142272807197518
temperature_2m,0.06943201206874554
boundary_layer_height,0.06639713423012214
pm2_5_roll_mean_168h,0.06449857181896645
month_sin,0.06428517749785391
wind_speed_10m,0.061720020404723526
northerly_cleaning_10m,0.06110898400118478
wind_gusts_10m,0.0574963504560833
wind_v_10m_lag_3h,0.051346020130958785
wind_v_10m,0.049518412269553856
pm2_5_roll_mean_12h,0.041382374001138554
wind_direction_10m,0.03916372002912686
city_Baoding,0.036479210057015946
wind_u_10m,0.035411658184137725
pm2_5_lag_48h,0.03429270836486502
wind_u_10m_lag_3h,0.03315476995243114
city_Hengshui,0.032273385713707865
cloud_cover,0.031522385384298975
wind_v_10m_lag_24h,0.030353127688812515
pm2_5_lag_168h,0.027933625937970122
weekday,0.02685240767754063
wind_u_10m_lag_1h,0.026134659238708034
wind_speed_10m_lag_3h,0.025977645826142117
pm2_5_roll_mean_72h,0.02591453560038586
pm2_5_lag_24h,0.025810420393638747
city_Cangzhou,0.025762167152659998
pressure_msl,0.023999487443524918
wind_u_10m_lag_24h,0.023209767295630096
pm2_5_lag_12h,0.022801689413176174
pm2_5_lag_72h,0.02076082866993269
wind_speed_10m_lag_1h,0.020553722184505265
wind_speed_10m_lag_24h,0.016563508706022405
precipitation,0.013816012533030997
city_Langfang,0.011252752026905708
southerly_transport_10m,0.009696672596234069
month,0.008045802842976065
city_Shijiazhuang,0.006182157787512576
month_cos,0.0043262471206321415
low_pblh_flag,0.002799810865287508
city_Tangshan,0.0020099265405639226
city_Zhangjiakou,0.0019214563461969541
city_Tianjin,0.0018282485471885744
missingindicator_pm2_5_lag_168h,0.001739622047689148
city_Xingtai,7.973066181649876e-05
missingindicator_pm2_5_lag_72h,6.168936375065614e-05
city_Handan,2.1745305952169e-05
missingindicator_pm2_5_roll_mean_168h,1.9855236675552965e-05
missingindicator_pm2_5_lag_48h,1.0681065931968649e-05
city_Chengde,0.0
city_Qinhuangdao,0.0
province_Beijing,0.0
missingindicator_apparent_temperature,0.0
rain,0.0
missingindicator_dust,0.0
missingindicator_aerosol_optical_depth,0.0
missingindicator_pm2_5_roll_mean_72h,0.0
missingindicator_has_inversion_850_1000,0.0
missingindicator_t_inverse_850_1000,0.0
missingindicator_temperature_1000hPa,0.0
missingindicator_temperature_850hPa,0.0
missingindicator_weather_code,0.0
missingindicator_snowfall,0.0
is_weekend,0.0
province_Tianjin,0.0
