city,month,pm2_5_median,pm2_5_p25,pm2_5_p75,pblh_median,wind_speed_median
Baoding,1,72.9,41.8,125.0,81.34620699999999,2.5528598655869703
Baoding,2,59.0,34.0,103.45,109.934348,2.9143737862093433
Baoding,3,50.0,28.5,81.0,187.51228,3.5
Baoding,4,37.7,24.0,56.8,319.05016,4.041221837117353
Baoding,5,34.0,22.0,48.1,324.86508,3.922814787691401
Baoding,6,33.0,22.0,46.0,357.808635,3.221882520273377
Baoding,7,32.0,21.3,46.0,276.09067000000005,2.5483838513888966
Baoding,8,31.0,19.0,45.01785714285714,184.14701,2.328114772846824
Baoding,9,35.0,21.0,53.225,160.50207,2.5359012326392607
Baoding,10,43.0,24.0,71.0,117.131465,2.504182714019911
Baoding,11,55.0,30.0,90.0,91.470373,2.344273070347252
Baoding,12,59.0,32.9,96.2,70.00312249999999,2.2857494733796457
Beijing,1,51.0,18.0,108.0,82.01893,2.7
Beijing,2,50.0,16.4,104.8,104.644315,2.8838890077742674
Beijing,3,53.0,24.0,95.0,149.15563500000002,3.174917146531918
Beijing,4,39.0,19.8,65.0,319.18457,3.816278208596456
Beijing,5,36.2,18.7,58.0,372.1834,3.7744740827010697
Beijing,6,33.0,19.0,54.0,381.05619,2.9024669129878564
Beijing,7,37.0,20.0,60.3,276.50795000000005,2.2
Beijing,8,32.0,16.0,65.47500000000001,173.37187,2.2119069360162067
Beijing,9,35.0,14.0,68.0,129.77730000000003,2.370109980361546
Beijing,10,42.5,13.0,86.8,100.09310500000001,2.470648658671867
Beijing,11,47.0,18.3,102.0,72.13968,2.373741984840474
Beijing,12,34.95454545454545,14.0,91.35,75.09053,2.4627627218375836
Cangzhou,1,55.0,31.0,96.2,146.89776999999998,3.5927466934227423
Cangzhou,2,45.0,26.375,76.0,218.835745,4.322525735309688
Cangzhou,3,44.7,26.0,72.0,309.976585,5.1
Cangzhou,4,35.0,22.275,50.0,446.097125,5.491979640966907
Cangzhou,5,31.0,20.1,43.0,438.6052,5.4
Cangzhou,6,33.0,23.0,44.0,373.675765,4.1
Cangzhou,7,28.9,19.0,41.0,326.72522000000004,3.3031679484481717
Cangzhou,8,28.05,18.241847826086957,39.349999999999994,263.86866999999995,3.017089321749139
Cangzhou,9,28.1625,18.5,42.0,230.746635,3.3547191255586397
Cangzhou,10,36.0,20.3,60.8,193.01010000000002,3.5808594200756216
Cangzhou,11,44.0,24.0,78.9,179.731185,3.438220413391774
Cangzhou,12,49.2,27.0,89.9,126.374015,3.1
Chengde,1,27.0,13.5,46.7,251.179345,2.934713094863683
Chengde,2,24.0,13.2,42.15,356.10299499999996,2.9574350432481777
Chengde,3,27.5,15.0,51.0,282.22763,3.048397440185766
Chengde,4,21.7,13.0,36.0,319.88304,3.3200183111188037
Chengde,5,22.0,13.0,34.0,335.54736,3.3400535925268175
Chengde,6,21.0,13.0,32.0,252.781725,2.341421733087176
Chengde,7,22.0,14.2,32.0,246.930205,1.9995033367515305
Chengde,8,17.677083333333336,12.0,28.2,180.56324,1.9472922503269587
Chengde,9,19.0,12.0,29.525,137.84462000000002,2.094686008925628
Chengde,10,19.35,10.4,36.1,122.26048750000001,2.2494254804043337
Chengde,11,26.35,13.0,46.0,120.85289,2.2
Chengde,12,25.0,12.0,42.0,401.67752,2.9
Handan,1,89.6,55.0,140.0,107.0328575,2.8579289925070377
Handan,2,65.0,40.3,97.3,187.4316,3.4030733556512573
Handan,3,52.2,34.0,75.4,289.1017,4.384550356071518
